"","nameTeam","idTeam","slugTeam","teamName","cityTeam","teamNameFull","idConference","idDivision","urlThumbnailTeam"
"1","Washington Wizards",1610612764,"WAS","wizards","Washington","Wizards",1,5,"https://stats.nba.com/media/img/teams/logos/WAS_logo.svg"
"2","Utah Jazz",1610612762,"UTA","jazz","Utah","Jazz",2,3,"https://stats.nba.com/media/img/teams/logos/UTA_logo.svg"
"3","Toronto Raptors",1610612761,"TOR","raptors","Toronto","Raptors",1,1,"https://stats.nba.com/media/img/teams/logos/TOR_logo.svg"
"4","San Antonio Spurs",1610612759,"SAS","spurs","San Antonio","Spurs",2,6,"https://stats.nba.com/media/img/teams/logos/SAS_logo.svg"
"5","Sacramento Kings",1610612758,"SAC","kings","Sacramento","Kings",2,4,"https://stats.nba.com/media/img/teams/logos/SAC_logo.svg"
"6","Portland Trail Blazers",1610612757,"POR","blazers","Portland","Trail Blazers",2,3,"https://stats.nba.com/media/img/teams/logos/POR_logo.svg"
"7","Phoenix Suns",1610612756,"PHX","suns","Phoenix","Suns",2,4,"https://stats.nba.com/media/img/teams/logos/PHX_logo.svg"
"8","Philadelphia 76ers",1610612755,"PHI","sixers","Philadelphia","76ers",1,1,"https://stats.nba.com/media/img/teams/logos/PHI_logo.svg"
"9","Orlando Magic",1610612753,"ORL","magic","Orlando","Magic",1,5,"https://stats.nba.com/media/img/teams/logos/ORL_logo.svg"
"10","Oklahoma City Thunder",1610612760,"OKC","thunder","Oklahoma City","Thunder",2,3,"https://stats.nba.com/media/img/teams/logos/OKC_logo.svg"
"11","New York Knicks",1610612752,"NYK","knicks","New York","Knicks",1,1,"https://stats.nba.com/media/img/teams/logos/NYK_logo.svg"
"12","New Orleans Pelicans",1610612740,"NOP","pelicans","New Orleans","Pelicans",2,6,"https://stats.nba.com/media/img/teams/logos/NOP_logo.svg"
"13","Minnesota Timberwolves",1610612750,"MIN","timberwolves","Minnesota","Timberwolves",2,3,"https://stats.nba.com/media/img/teams/logos/MIN_logo.svg"
"14","Milwaukee Bucks",1610612749,"MIL","bucks","Milwaukee","Bucks",1,2,"https://stats.nba.com/media/img/teams/logos/MIL_logo.svg"
"15","Miami Heat",1610612748,"MIA","heat","Miami","Heat",1,5,"https://stats.nba.com/media/img/teams/logos/MIA_logo.svg"
"16","Memphis Grizzlies",1610612763,"MEM","grizzlies","Memphis","Grizzlies",2,6,"https://stats.nba.com/media/img/teams/logos/MEM_logo.svg"
"17","Los Angeles Lakers",1610612747,"LAL","lakers","Los Angeles","Lakers",2,4,"https://stats.nba.com/media/img/teams/logos/LAL_logo.svg"
"18","Los Angeles Clippers",1610612746,"LAC","clippers","LA","Clippers",2,4,"https://stats.nba.com/media/img/teams/logos/LAC_logo.svg"
"19","Indiana Pacers",1610612754,"IND","pacers","Indiana","Pacers",1,2,"https://stats.nba.com/media/img/teams/logos/IND_logo.svg"
"20","Houston Rockets",1610612745,"HOU","rockets","Houston","Rockets",2,6,"https://stats.nba.com/media/img/teams/logos/HOU_logo.svg"
"21","Golden State Warriors",1610612744,"GSW","warriors","Golden State","Warriors",2,4,"https://stats.nba.com/media/img/teams/logos/GSW_logo.svg"
"22","Detroit Pistons",1610612765,"DET","pistons","Detroit","Pistons",1,2,"https://stats.nba.com/media/img/teams/logos/DET_logo.svg"
"23","Denver Nuggets",1610612743,"DEN","nuggets","Denver","Nuggets",2,3,"https://stats.nba.com/media/img/teams/logos/DEN_logo.svg"
"24","Dallas Mavericks",1610612742,"DAL","mavericks","Dallas","Mavericks",2,6,"https://stats.nba.com/media/img/teams/logos/DAL_logo.svg"
"25","Cleveland Cavaliers",1610612739,"CLE","cavaliers","Cleveland","Cavaliers",1,2,"https://stats.nba.com/media/img/teams/logos/CLE_logo.svg"
"26","Chicago Bulls",1610612741,"CHI","bulls","Chicago","Bulls",1,2,"https://stats.nba.com/media/img/teams/logos/CHI_logo.svg"
"27","Charlotte Hornets",1610612766,"CHA","hornets","Charlotte","Hornets",1,5,"https://stats.nba.com/media/img/teams/logos/CHA_logo.svg"
"28","Brooklyn Nets",1610612751,"BKN","nets","Brooklyn","Nets",1,1,"https://stats.nba.com/media/img/teams/logos/BKN_logo.svg"
"29","Boston Celtics",1610612738,"BOS","celtics","Boston","Celtics",1,1,"https://stats.nba.com/media/img/teams/logos/BOS_logo.svg"
"30","Atlanta Hawks",1610612737,"ATL","hawks","Atlanta","Hawks",1,5,"https://stats.nba.com/media/img/teams/logos/ATL_logo.svg"
